INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (1, 41, 15, '1998-09-07 12:23:36', '1980-09-16 07:24:26', '1974-09-24 17:53:52', '2002-09-04 14:02:05');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (17, 68, 68, '2014-03-06 00:24:52', '1981-01-03 07:47:13', '2010-08-11 03:52:46', '2008-03-02 16:50:11');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (18, 27, 53, '1970-07-17 11:43:09', '2011-11-13 00:41:29', '2016-10-25 20:09:52', '1971-06-13 17:37:12');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (19, 43, 52, '2015-11-14 22:20:28', '1981-03-30 02:50:17', '1977-01-27 23:58:57', '1975-12-09 20:09:41');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (20, 48, 26, '2006-02-08 13:32:01', '1983-09-01 23:32:50', '2015-08-06 05:23:51', '1988-07-14 13:03:34');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (21, 87, 57, '2008-06-17 21:48:54', '1975-04-05 07:44:08', '2009-11-16 01:08:11', '1988-04-24 21:43:06');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (22, 83, 96, '2017-11-12 19:43:38', '2006-06-22 22:32:10', '2017-01-22 01:41:18', '1996-05-31 01:27:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (23, 8, 27, '2007-02-12 17:05:04', '1992-04-29 19:27:39', '1971-06-06 16:44:06', '1981-12-22 00:19:33');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (24, 73, 11, '1980-12-11 10:25:30', '2003-07-08 17:21:56', '1994-12-22 00:05:18', '1998-03-13 22:55:58');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (25, 40, 12, '1996-06-13 15:47:26', '2002-09-09 05:25:33', '1989-06-27 11:01:13', '2017-09-23 04:57:36');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (26, 59, 45, '2008-08-13 20:44:49', '1974-06-13 09:16:32', '1993-06-06 19:03:33', '2012-08-01 13:47:17');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (27, 0, 44, '1996-10-19 14:55:17', '1987-12-29 13:15:22', '1990-08-09 21:50:59', '1987-10-08 23:30:14');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (28, 85, 79, '2000-12-26 01:21:19', '1984-08-26 06:17:36', '1983-03-15 10:29:57', '1996-05-16 20:56:01');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (29, 63, 87, '1985-06-12 16:17:42', '1988-11-30 08:27:48', '2007-03-01 14:39:51', '1987-04-02 10:26:39');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (30, 87, 9, '1995-09-17 00:06:44', '1998-01-18 10:32:23', '1998-09-22 00:12:19', '1990-03-17 21:09:06');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (31, 82, 55, '1988-12-27 15:49:18', '2006-09-14 03:23:43', '2014-08-25 03:50:43', '1999-12-12 23:50:45');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (32, 30, 40, '2008-01-17 00:20:30', '1988-06-23 04:35:16', '2000-07-23 11:05:20', '1981-05-22 18:06:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (33, 42, 50, '1992-07-13 22:42:17', '2017-07-09 03:44:52', '1990-08-03 19:26:31', '1982-07-10 22:13:37');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (34, 49, 9, '1973-09-09 00:02:26', '2012-01-10 02:32:32', '2004-10-13 21:15:10', '1996-03-02 14:03:11');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (35, 77, 79, '1991-08-02 23:05:01', '2005-09-18 07:47:20', '2017-08-16 03:14:14', '2005-08-11 15:28:42');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (36, 52, 91, '2003-03-30 03:21:28', '2016-03-24 15:06:58', '1996-07-11 13:35:08', '1980-11-06 10:55:22');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (37, 21, 75, '2015-07-22 12:44:09', '1998-12-19 16:49:15', '2016-03-28 02:29:38', '2018-09-20 02:06:23');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (38, 84, 62, '2000-11-07 18:36:34', '1987-02-01 11:26:12', '2016-09-02 16:20:28', '1972-05-24 06:19:14');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (39, 75, 81, '1977-11-11 00:16:53', '1979-07-09 20:48:06', '1977-07-15 21:06:49', '2015-04-03 11:54:17');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (40, 18, 3, '1979-04-29 17:56:27', '2013-08-12 05:06:34', '1994-06-19 16:44:24', '1993-02-04 14:26:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (41, 82, 19, '1981-03-16 07:12:02', '2014-03-06 14:17:04', '1980-10-21 19:37:29', '2019-06-29 18:08:05');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (42, 51, 96, '1996-11-18 12:22:45', '2016-11-19 06:08:37', '2008-06-24 23:42:21', '1986-10-30 10:21:09');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (43, 7, 48, '1971-03-21 07:18:26', '1981-04-13 00:13:33', '1978-03-31 08:51:31', '2005-04-29 07:41:28');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (44, 87, 63, '2012-10-15 04:23:32', '1975-02-04 13:49:32', '1983-08-24 19:23:57', '1998-09-13 03:58:30');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (45, 81, 46, '1986-06-27 13:18:38', '2017-06-09 07:10:03', '2008-03-07 12:08:50', '1970-09-08 16:24:04');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (46, 30, 14, '1974-04-06 11:10:42', '1979-10-31 09:17:00', '2003-06-20 03:50:43', '2002-08-11 15:47:21');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (47, 83, 49, '1986-01-21 03:14:09', '2011-04-10 10:39:03', '1972-09-19 08:44:12', '2005-06-13 17:29:29');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (48, 88, 58, '2004-09-13 16:04:28', '1987-05-27 18:03:10', '1970-01-31 19:27:48', '2013-06-16 18:05:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (49, 100, 95, '1970-01-27 11:13:34', '1991-05-21 12:59:17', '2014-03-29 06:33:52', '1972-03-14 08:29:03');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (50, 25, 8, '1998-11-02 12:21:31', '2019-07-26 03:24:21', '2015-07-10 01:53:30', '1997-07-04 00:25:17');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (51, 39, 91, '2011-05-11 13:28:15', '1975-03-08 05:08:22', '2017-12-10 02:43:12', '1973-09-09 04:30:38');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (52, 32, 86, '2016-06-30 20:17:16', '2001-12-17 22:47:28', '1994-06-19 05:14:47', '1988-06-06 14:41:02');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (53, 7, 92, '1996-03-16 13:28:48', '1982-10-14 08:02:45', '1974-05-23 01:29:52', '1979-06-19 00:34:33');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (54, 56, 98, '1982-07-20 09:05:07', '1987-01-29 17:19:04', '1975-04-21 21:51:06', '1980-01-25 16:06:58');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (55, 41, 15, '2007-11-20 16:14:54', '1992-01-25 19:37:07', '1970-01-20 15:46:05', '1971-01-22 06:31:56');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (56, 10, 67, '1995-01-05 15:50:12', '2006-12-13 00:29:35', '1999-07-29 17:59:49', '2010-08-09 16:30:17');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (57, 3, 8, '1991-10-11 09:12:56', '1989-02-03 18:25:32', '1991-03-21 01:50:35', '2010-12-17 08:07:04');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (58, 32, 81, '2007-09-14 14:18:26', '1982-08-07 02:34:24', '2019-08-12 04:11:42', '1978-04-11 15:21:39');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (59, 93, 10, '1994-11-04 08:10:14', '2001-07-01 08:41:50', '2000-01-05 14:10:40', '1979-01-08 11:57:43');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (60, 29, 32, '2008-08-21 04:42:16', '2004-01-15 20:05:30', '1970-10-13 03:29:02', '1995-12-20 23:52:09');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (61, 18, 32, '1988-04-28 19:11:02', '2002-10-18 14:53:39', '2000-09-02 15:30:02', '2018-03-02 19:41:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (62, 98, 7, '1978-11-22 19:52:27', '1998-12-15 20:09:28', '1977-05-13 14:26:45', '1988-07-29 22:42:45');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (63, 38, 9, '1978-11-02 21:58:43', '2011-05-13 14:03:25', '1970-04-03 20:50:42', '1977-04-30 05:10:40');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (64, 64, 76, '1987-02-19 15:55:15', '2006-08-04 23:53:00', '2020-04-20 19:52:45', '1975-07-06 20:31:41');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (65, 35, 41, '1982-01-08 09:15:13', '2004-11-10 12:45:46', '1970-07-28 21:29:24', '1995-01-31 03:36:12');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (66, 92, 90, '1989-10-23 04:26:00', '1980-05-14 11:27:46', '2009-05-25 00:25:00', '1995-05-15 17:03:42');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (67, 61, 61, '1993-02-22 12:09:57', '2005-06-15 03:46:38', '1984-11-10 06:56:02', '2006-06-05 06:46:00');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (68, 74, 1, '2009-08-03 02:43:44', '2016-03-17 10:09:33', '1984-10-20 03:13:27', '1987-08-08 08:29:58');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (69, 32, 82, '1989-07-07 14:18:29', '2014-04-23 22:23:49', '1986-04-28 10:44:47', '1985-11-13 14:48:23');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (70, 65, 57, '1972-11-19 14:36:41', '1974-10-31 11:27:38', '1984-12-04 22:50:58', '1986-12-05 21:21:22');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (71, 41, 47, '2009-04-21 01:16:56', '1979-07-17 09:18:48', '2007-01-01 05:42:08', '1991-11-15 19:46:41');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (72, 22, 6, '1998-09-30 19:38:10', '2005-08-09 12:17:25', '2009-02-08 08:57:51', '2010-08-03 19:44:56');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (73, 16, 77, '2018-03-03 19:51:22', '2009-05-05 23:27:40', '2007-12-03 17:06:21', '2016-05-18 10:32:07');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (74, 16, 48, '1992-12-20 19:19:42', '1994-02-18 00:11:15', '1986-01-18 07:20:24', '1978-10-28 23:45:29');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (75, 2, 54, '1999-12-27 09:23:01', '1972-08-20 06:39:26', '2007-06-01 00:47:36', '1979-05-31 22:02:13');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (76, 76, 48, '1972-04-12 09:26:14', '1979-12-28 07:23:52', '2001-02-05 05:08:30', '2008-01-17 10:49:56');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (77, 100, 76, '1974-12-14 23:41:06', '2006-11-19 14:11:05', '1973-06-19 17:32:25', '1980-12-29 16:34:38');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (78, 73, 79, '1994-10-18 22:26:22', '2003-01-30 12:58:58', '1988-07-04 15:18:06', '1988-04-17 20:35:01');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (79, 98, 16, '2019-12-21 17:05:42', '2007-04-29 16:01:02', '1984-05-07 21:48:23', '1985-06-10 09:04:34');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (80, 59, 35, '1972-07-20 23:47:09', '2011-12-17 09:19:25', '1975-11-22 05:09:05', '1972-01-24 10:15:25');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (81, 28, 5, '1997-04-21 06:50:38', '1982-12-03 01:56:24', '1998-05-24 16:45:20', '2000-07-11 01:17:37');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (82, 4, 72, '2001-05-04 05:21:32', '1995-10-05 20:20:18', '2007-01-09 03:09:31', '1976-01-27 05:31:37');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (83, 80, 64, '2009-04-26 13:11:13', '2013-06-29 03:43:27', '2004-02-22 00:47:03', '1977-06-04 05:25:39');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (84, 26, 96, '1978-04-16 22:06:27', '1978-07-16 10:27:59', '1994-11-09 01:50:54', '1981-08-29 04:48:27');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (85, 14, 22, '2007-06-08 03:46:59', '2014-11-24 22:26:02', '2003-06-19 10:56:37', '1976-09-20 17:38:33');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (86, 17, 81, '1991-07-12 17:41:45', '1973-01-07 22:24:17', '2018-03-19 08:00:20', '1986-04-19 16:34:43');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (87, 97, 99, '1970-06-03 20:44:55', '2005-10-06 00:58:30', '2014-10-09 04:05:15', '2016-04-26 20:07:06');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (88, 12, 7, '1978-10-19 05:31:38', '1973-08-01 22:08:55', '2006-04-14 22:57:10', '2012-01-21 09:02:23');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (89, 68, 7, '1988-10-11 05:08:20', '1990-01-15 17:49:26', '1985-01-17 14:44:04', '1995-12-17 03:27:14');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (90, 64, 99, '1983-03-08 22:48:11', '1976-02-09 12:57:54', '1985-10-31 19:57:36', '1976-06-07 14:28:43');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (91, 13, 43, '2004-08-19 02:53:52', '1996-02-23 11:02:26', '1990-06-12 15:20:19', '1971-07-31 23:25:51');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (92, 60, 11, '2018-05-30 14:46:59', '1972-10-30 00:42:58', '1977-11-28 16:22:02', '1977-11-18 06:33:20');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (93, 7, 82, '1989-08-03 00:53:30', '2007-05-22 21:44:59', '1985-10-28 18:58:58', '1976-03-15 18:29:20');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (94, 35, 54, '2011-10-15 21:40:31', '1985-03-23 17:29:16', '1977-11-01 19:50:24', '1979-01-21 12:02:36');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (95, 95, 70, '2014-09-01 19:41:07', '2015-10-06 02:27:59', '2006-03-22 14:10:14', '1988-06-08 02:54:27');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (96, 95, 2, '1998-05-27 13:42:22', '1998-08-16 20:20:53', '1982-04-04 20:27:45', '2018-06-12 10:44:16');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (97, 93, 94, '1998-08-31 23:54:05', '2006-02-02 02:15:10', '2001-05-03 10:29:12', '2018-10-27 16:49:48');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (98, 6, 48, '1972-11-16 12:25:43', '1973-12-01 02:52:13', '2004-11-05 14:24:45', '1979-02-26 00:21:03');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (99, 43, 8, '2001-06-12 20:48:14', '2018-03-02 04:59:10', '1977-11-23 01:17:52', '2016-05-09 04:37:44');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (100, 7, 61, '2014-02-17 21:22:21', '1997-11-25 07:13:25', '1996-03-10 17:46:30', '1973-06-17 14:33:03');




INSERT INTO `messages` (`id`, `from_user_id`, `to_user_id`, `body`, `is_important`, `is_delivered`, `created_at`) VALUES (1, 1, 19, 'Qui quasi quaerat aut molestiae enim quaerat. Consequatur sequi et dolorem modi ea est. Incidunt sed dignissimos est maxime aliquam.', 0, 1, '1989-06-30 14:01:51');
INSERT INTO `messages` (`id`, `from_user_id`, `to_user_id`, `body`, `is_important`, `is_delivered`, `created_at`) VALUES (2, 2, 60, 'Distinctio eligendi quia voluptatem cum tenetur sed aut. Magnam enim error in dicta qui. Deleniti et nobis voluptas dolores saepe sit quidem. Vel temporibus eum dolores rerum aliquid id.', 1, 0, '1970-05-29 10:15:32');
INSERT INTO `messages` (`id`, `from_user_id`, `to_user_id`, `body`, `is_important`, `is_delivered`, `created_at`) VALUES (3, 3, 74, 'Culpa et officia perspiciatis vero velit voluptatem. Accusantium dolor nisi esse vel nostrum ut eum. Et quidem consequuntur non illum. Placeat placeat voluptate rerum vitae sit et at.', 1, 1, '1988-11-14 10:19:13');
INSERT INTO `messages` (`id`, `from_user_id`, `to_user_id`, `body`, `is_important`, `is_delivered`, `created_at`) VALUES (4, 4, 8, 'Aperiam exercitationem nihil earum quaerat voluptatum quasi. Voluptatem eaque repudiandae consectetur non qui atque. Repudiandae rem voluptate corporis non quod omnis. Numquam odit exercitationem quia et et sunt et.', 1, 0, '2019-08-13 16:18:19');
